nombre,poblacion,superficie,continente
Argentina,45376763,2780400,América
Brasil,213993437,8515767,América
Estados Unidos,331002651,9833517,América
México,128932753,1964375,América
Canadá,38005238,9984670,América
Japón,125800000,377975,Asia
China,1444216107,9596961,Asia
India,1380004385,3287263,Asia
Corea del Sur,51269185,100210,Asia
Indonesia,273523615,1904569,Asia
Alemania,83149300,357022,Europa
Francia,67391582,643801,Europa
España,46754778,505990,Europa
Italia,60461826,301340,Europa
Reino Unido,67886011,242495,Europa
Nigeria,206139589,923768,África
Egipto,102334404,1002450,África
Sudáfrica,59308690,1221037,África
Australia,25499884,7692024,Oceanía
Nueva Zelanda,4822233,268838,Oceanía
